Time since start in ms ,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
131668,0.469,0.364,10.534
131723,0.268,0.594,9.701
131788,1.063,0.508,10.87
131848,0.086,0.699,10.333
131907,0.661,0.259,9.242
131967,0.096,0.029,10.065
132028,0.239,0.134,8.61
132088,0.45,0.412,9.682
132147,0.488,0.249,11.042
132208,0.096,-0.096,10.554
132267,0.508,0.431,9.021
132327,0.862,0.278,8.705
132388,0.824,0.833,9.606
132447,0.766,0.68,8.466
132508,0.297,0.441,9.012
132568,0.642,0.172,11.866
132628,-1.456,-0.105,10.228
132687,-0.086,1.006,7.345
132743,0.804,0.862,7.527
132808,0.785,0.776,10.084
132867,0.469,0.785,9.28
132928,0.891,0.91,9.625
132988,1.178,0.91,10.534
133047,0.785,0.91,10.362
133107,0.431,0.833,11.224
133168,0.0,0.517,10.985
133228,0.105,0.345,9.586
133287,0.737,0.373,9.347
133347,0.804,0.153,10.487
133408,1.437,0.105,9.606
133467,0.958,-0.029,9.644
133528,0.259,0.297,10.017
133587,0.316,0.278,9.357
133648,0.584,0.69,9.931
133707,0.622,0.45,10.372
133765,0.546,0.144,10.458
133828,0.431,0.239,9.203
133888,0.709,0.555,9.29
133947,0.766,0.192,10.63
134008,0.23,0.038,9.577
134068,-0.22,-0.067,10.18
134127,0.326,0.22,10.314
134188,0.488,0.153,11.272
134247,1.025,0.412,11.023
134307,0.45,0.67,9.855
134368,0.259,0.316,9.606
134423,0.69,0.421,10.582
134488,0.555,0.546,12.22
134548,0.134,0.23,10.544
134607,-0.508,0.077,9.242
134663,-0.508,0.057,9.471
134667,0.029,0.057,9.471
134727,-0.096,0.077,9.807
134783,0.488,0.287,9.768
134848,-0.345,-0.057,8.361
134907,0.287,0.737,10.18
134968,-0.019,0.996,10.985
135023,0.46,0.402,11.396
135088,0.45,0.354,10.716
135148,0.69,0.508,11.262
135208,0.153,0.642,11.53
135268,-0.871,0.91,10.151
135327,-0.603,1.417,10.381
135388,-0.153,1.159,10.391
135447,-0.038,1.255,9.625
135507,0.929,1.456,11.301
135567,-0.575,1.216,9.203
135628,-0.201,1.58,10.314
135687,-0.67,1.753,10.381
135748,0.029,1.935,11.645
135815,-0.824,2.27,10.372
135867,-0.211,1.417,10.554
135928,0.479,1.867,11.09
135987,0.0,1.935,10.41
136047,-0.297,2.72,9.682
136107,-0.718,2.241,9.95
136167,-0.776,2.701,9.299
136228,-0.814,2.806,9.711
136287,-0.565,2.863,10.333
136347,-0.172,2.806,10.247
136408,-0.268,3.218,10.965
136467,0.421,3.055,11.09
136528,0.153,3.505,12.268
136587,-0.201,2.94,10.927
136647,-0.69,2.94,11.061
136707,-1.082,3.285,10.171
136763,-1.082,2.787,9.749
136768,-0.45,2.787,9.749
136827,-0.115,2.816,8.973
136887,-0.287,2.691,9.577
136948,0.019,3.381,8.839
137008,-0.335,2.978,10.477
137067,-0.23,3.247,10.075
137127,-0.68,3.084,9.835
137183,-0.68,3.122,9.251
137188,-0.172,3.122,9.251
137243,-0.594,3.314,8.916
137308,-0.613,3.371,9.194
137367,-0.508,2.902,9.184
137428,-0.622,3.189,8.964
137488,-0.46,2.71,9.012
137548,-0.345,3.323,9.328
137607,-0.46,2.701,9.165
137667,-1.053,4.223,9.759
137728,-0.517,3.16,10.094
137787,-0.373,3.4,9.787
137848,-0.46,3.199,10.851
137907,-0.584,3.716,10.266
137968,-0.345,3.448,9.251
138027,-0.929,2.251,8.801
138087,-0.488,3.189,9.021
138147,-1.053,3.179,8.859
138207,-0.508,3.39,8.533
138268,-0.594,2.969,9.404
138328,-0.364,3.151,9.701
138387,-0.862,1.686,8.954
138448,-0.718,2.806,8.792
138508,-0.977,2.729,9.51
138568,-0.546,2.308,9.366
138628,-1.14,2.212,8.715
138687,-0.967,2.097,9.194
138747,-0.163,1.896,9.519
138809,-0.134,1.944,9.96
138868,-1.216,1.58,9.893
138927,-0.852,2.404,9.357
138987,-0.833,1.925,10.439
139047,-1.207,1.312,9.826
139107,-1.226,1.551,8.811
139167,-0.804,1.331,9.136
139227,-0.306,0.824,10.391
139288,-0.603,0.584,9.845
139347,-0.871,0.651,9.931
139407,-0.728,0.785,8.485
139467,-1.437,0.144,9.96
139523,-0.757,0.584,8.782
139587,-0.134,0.939,10.563
139648,-0.441,0.048,10.448
139707,-0.862,-0.115,10.563
139768,-0.728,-0.555,8.82
139837,-0.709,0.498,9.347
139907,-1.006,0.115,8.686
139967,-0.824,-0.172,9.893
140027,-1.341,-0.814,9.787
140087,-0.699,-0.488,8.705
140148,-1.034,-0.795,10.602
140207,-0.622,-0.747,8.935
140281,-1.264,-0.651,9.969
140328,-0.632,-0.01,9.883
140388,-1.025,-0.785,9.807
140448,-1.188,-0.364,10.343
140507,-0.479,-0.421,10.247
140567,-1.14,-0.441,10.324
140627,-0.67,-0.498,9.931
140687,-0.278,-0.632,10.391
140747,-1.36,-0.804,9.931
140826,-0.45,-0.651,10.448
140887,-1.283,-0.594,9.778
140947,-1.111,-0.517,9.941
141007,-0.804,0.316,9.797
141067,-1.896,-0.421,9.855
141128,-0.632,-0.268,9.998
141187,-0.69,0.029,10.534
141247,-1.092,-0.373,10.276
141308,-0.728,-0.134,11.128
141367,-1.341,0.01,9.117
141428,-1.532,-0.067,10.458
141487,-1.149,-0.192,9.471
141548,-0.728,0.67,9.337
141603,-1.053,0.086,9.06
141668,-0.919,0.22,9.558
141728,0.163,0.249,9.673
141788,-0.747,-0.144,9.835
141847,-0.508,0.278,10.218
141907,-1.006,0.728,9.998
141968,-0.986,0.172,10.353
142028,-1.379,-0.287,10.094
142088,-1.082,0.182,10.343
142147,-1.36,-0.613,9.74
142207,-1.35,-0.278,8.83
142268,-0.891,-0.048,9.797
142327,-1.12,-0.182,9.012
142387,-0.852,0.402,9.318
142448,-0.766,-0.182,9.998
142508,-1.101,-0.057,10.841
142568,-1.063,-0.029,9.51
142627,-0.287,-0.124,10.046
142687,-0.575,0.057,9.931
142743,-1.475,-0.048,10.094
142807,-0.354,0.057,11.1
142867,-1.695,-0.613,10.534
142928,-0.737,0.383,9.826
142987,-1.331,-0.613,10.63
143048,-1.571,-0.306,9.414
143107,-1.389,0.029,8.667
143168,-1.207,0.192,8.504
143227,-0.824,-0.517,8.523
143287,-1.006,-0.517,8.437
143348,-0.211,-0.105,9.5
143403,-0.211,-0.105,10.228
143408,-0.996,0.029,10.228
143468,-0.967,0.22,9.548
143527,-0.316,0.546,9.711
143588,-1.178,0.776,9.673
143647,-0.977,-0.144,9.357
143708,-0.622,-0.326,9.529
143763,-1.073,0.019,9.874
143825,-1.791,-0.814,8.667
143887,-0.46,-0.594,10.151
143947,-0.508,-0.105,9.347
144008,-1.073,-0.45,10.563
144068,0.163,-0.019,11.933
144128,-0.105,0.354,12.325
144188,-0.776,-0.067,10.841
144243,-0.776,-1.149,9.778
144247,-2.413,-1.149,9.778
144307,-1.322,-0.45,9.06
144367,-1.647,-0.661,8.38
144427,-0.795,-0.871,9.05
144488,-0.019,-0.163,8.447
144547,-0.699,-0.201,9.136
144607,-0.651,0.201,9.5
144667,-0.469,0.412,8.916
144728,-1.235,0.565,8.945
144787,-1.657,0.086,7.767
144848,-1.168,-0.402,9.318
144908,-0.431,-0.364,10.889
144968,-0.795,-0.115,9.615
145028,-0.364,-0.622,10.094
145087,-0.45,-0.048,10.381
145148,-1.13,-0.364,10.918
145208,-0.891,-0.134,10.42
145268,-0.967,0.105,9.251
145327,-1.724,0.718,10.19
145388,-1.274,-0.038,8.792
145447,-1.188,0.268,8.983
145507,-1.092,0.919,8.159
145568,-0.977,-0.077,9.213
145627,-0.939,0.402,10.19
145688,-0.67,0.383,8.744
145747,-1.666,0.316,9.72
145808,-1.015,0.622,9.922
145868,-0.479,0.278,8.686
145927,-0.622,0.326,10.046
145987,-0.651,0.632,10.276
146043,-0.651,0.67,8.399
146047,-1.159,0.67,8.399
146108,-1.561,0.91,9.021
146167,-0.852,-0.105,9.577
146227,-0.967,0.038,9.577
146288,-0.096,0.364,10.123
146348,0.115,0.278,11.032
146407,-0.68,0.335,10.391
146467,-0.795,0.508,10.534
146527,-1.044,-0.192,9.701
146588,-0.661,0.479,9.807
146647,-1.437,0.01,9.941
146708,-1.437,0.278,8.878
146767,-1.341,0.364,8.552
146825,-1.245,-0.029,7.518
146888,-0.23,0.393,9.213
146947,-0.383,0.077,10.362
147008,0.431,-0.172,9.596
147068,-0.718,-0.632,9.299
147128,-0.067,-0.498,10.678
147187,-0.01,0.038,10.257
147248,-1.073,0.096,10.036
147308,-0.326,0.239,9.979
147363,-0.306,0.239,10.429
147427,0.393,-0.144,8.715
147487,-0.134,-0.201,11.224
147543,-0.134,-0.316,10.812
147547,0.412,-0.316,10.812
147607,0.383,-0.163,9.663
147668,0.067,0.421,10.247
147727,0.0,0.393,9.807
147787,0.297,0.077,10.18
147853,0.172,0.096,9.481
147907,0.737,-0.536,9.203
147967,0.0,-0.335,9.826
148027,0.412,-0.804,8.763
148088,0.948,-0.239,9.108
148147,0.555,-0.843,10.822
148208,1.149,-0.843,9.088
148267,0.153,-0.642,10.851
148328,-0.019,-0.709,9.452
148388,0.46,-0.862,9.452
148447,0.737,-1.092,10.19
148507,0.144,-1.398,8.59
148568,0.077,-0.498,9.194
148627,-0.622,-0.804,8.993
148688,-0.077,-1.092,7.106
148747,-0.019,-1.025,9.653
148808,0.115,-0.948,9.606
148868,-1.427,-0.871,9.328
148927,-0.287,-0.843,8.868
148987,-0.441,-1.073,10.218
149043,-0.326,-1.369,9.855
149108,-0.565,-0.977,9.606
149167,-0.546,-1.178,10.027
149227,-1.082,-1.245,9.634
149287,-0.804,-1.484,9.682
149348,-0.546,-1.302,9.098
149407,-0.211,-0.948,10.41
149467,-0.393,-0.948,10.716
149527,-0.709,-1.044,9.443
149588,-1.025,-1.14,8.782
149648,-0.642,-1.322,9.021
149710,-0.919,-0.967,9.874
149763,-0.661,-1.082,8.926
149827,-0.019,-1.599,9.759
149887,-0.115,-1.255,10.266
149948,-0.622,-1.35,9.021
150008,-0.603,-1.571,9.874
150067,-0.68,-1.504,10.4
150128,-0.651,-1.101,9.558
150183,-0.651,-1.705,10.295
150187,-0.757,-1.705,10.295
150248,-0.862,-1.341,9.778
150308,-1.044,-1.437,9.232
150367,-0.833,-1.504,9.663
150427,-0.757,-1.781,10.036
150488,-0.306,-1.753,10.362
150547,-0.958,-1.484,9.749
150603,-0.958,-1.791,9.433
150667,-1.14,-1.915,10.132
150727,-0.9,-1.753,9.146
150788,-0.603,-1.944,9.548
150842,-0.881,-2.04,11.09
150908,-0.172,-1.82,11.262
150968,-0.393,-1.915,10.132
151028,-0.249,-1.992,10.161
151087,-0.354,-2.203,9.222
151148,-0.354,-2.365,9.682
151207,-0.067,-2.164,10.611
151263,-0.153,-1.963,10.027
151328,-0.814,-2.04,9.127
151388,-0.929,-2.356,9.242
151447,-0.776,-2.471,9.069
151508,-1.12,-2.193,8.437
151568,-0.584,-2.557,10.075
151627,-0.144,-2.04,9.136
151687,-0.728,-2.318,9.606
151748,-0.498,-2.107,8.849
151803,-0.508,-2.509,9.596
151867,-0.393,-1.781,9.673
151928,-0.728,-2.308,9.337
151987,-0.68,-2.155,9.27
152047,-0.594,-1.925,9.673
152108,-0.441,-2.155,10.755
152168,-0.402,-1.762,10.534
152228,-0.986,-2.021,9.682
152288,-1.36,-1.925,9.931
152348,-0.881,-2.059,9.768
152407,-0.68,-1.571,9.165
152468,-0.038,-1.81,9.606
152528,-0.201,-1.226,9.941
152587,-0.622,-1.551,9.29
152648,-0.824,-1.781,8.935
152708,-0.105,-1.839,9.29
152767,-0.211,-2.049,8.514
152827,-0.201,-1.992,9.749
152887,-0.575,-1.781,9.5
152948,-0.479,-1.322,9.864
153007,-0.45,-1.628,9.768
153067,-0.192,-0.91,9.222
153128,-0.115,-0.785,9.002
153187,0.239,-1.006,10.372
153247,0.45,-0.335,10.142
153308,0.038,-0.67,8.504
153368,0.46,-0.22,10.448
153427,0.019,-0.584,9.874
153488,0.67,-0.393,9.95
153548,0.67,-0.929,9.395
153607,1.034,-0.69,10.343
153667,1.255,-1.322,8.638
153723,0.766,-1.417,10.285
153783,1.216,-1.197,9.491
153847,1.81,-1.111,8.839
153908,1.025,-1.12,10.171
153968,1.724,-1.302,10.391
154028,1.073,-0.737,8.629
154088,1.906,-0.737,9.816
154147,2.27,-0.651,8.523
154207,1.676,-0.182,10.391
154263,2.097,-0.182,8.792
154323,2.174,-0.306,8.973
154388,2.777,-0.421,11.866
154447,1.896,-1.063,10.515
154508,2.126,-0.91,9.548
154567,2.48,-0.919,9.826
154627,2.777,-0.527,10.4
154687,3.045,-0.297,11.454
154748,2.48,0.249,8.064
154819,2.634,0.603,8.772
154867,0.718,-0.201,9.759
154923,2.174,-0.795,10.036
154988,2.184,-0.124,7.709
155048,2.825,0.01,10.736
155108,3.112,-0.651,9.529
155167,2.116,-0.833,12.402
155228,1.896,0.335,9.28
155285,2.203,0.804,9.471
155347,2.758,-0.115,9.634
155407,1.733,0.239,8.255
155467,1.81,-0.144,8.868
155527,1.695,-0.23,9.96
155587,3.103,0.268,5.679
155648,2.605,0.67,12.517
155707,1.523,0.306,13.149
155767,1.666,-0.316,13.13
155824,1.14,-0.287,9.855
155887,1.915,-0.105,9.424
155947,2.5,0.144,9.644
156007,2.442,-0.067,12.795
156067,3.237,0.163,11.483
156127,1.379,-0.239,9.424
156187,2.471,-0.766,10.918
156247,2.27,-0.383,8.724
156303,1.676,-0.431,10.381
156367,3.026,-0.718,11.301
156427,2.002,0.019,9.979
156487,1.925,-0.096,10.908
156548,2.835,-0.852,9.232
156607,3.026,-0.029,9.548
156667,3.62,0.488,9.127
156727,1.494,0.019,9.031
156787,2.729,0.249,10.171
156839,2.116,-0.584,10.343
156907,1.427,0.929,9.596
156968,1.867,0.22,8.294
157027,1.523,0.01,10.372
157087,3.266,-0.393,9.989
157148,1.513,-0.22,10.64
157208,1.724,0.048,9.462
157263,1.724,0.134,9.711
157267,0.632,0.134,9.711
157328,-0.201,0.46,8.82
157383,0.383,-0.192,8.705
157443,-0.144,0.268,9.222
157508,-0.172,-0.067,11.004
157567,-0.048,-0.268,9.491
157627,1.341,0.249,12.603
157687,1.762,0.019,15.189
157747,1.896,-0.278,6.196
157803,-0.718,-0.661,5.708
157868,-0.268,-0.067,6.819
157927,-2.988,-0.067,11.157
157988,-0.575,0.153,9.548
158048,-0.345,0.508,9.883
158108,1.264,-0.383,10.094
158167,0.326,0.22,9.96
158227,0.575,-0.048,10.027
158287,-0.862,-0.211,9.242
158348,-1.082,-0.431,9.989
158408,-1.006,-0.766,10.41
158467,-3.199,1.111,6.196
158528,-3.534,0.824,3.773
158587,0.306,0.201,9.29
158647,0.373,0.546,10.084
158708,0.086,-0.412,12.718
158765,1.829,-0.144,12.507
158823,1.925,-0.661,12.661
158887,-1.417,-0.23,11.77
158947,-1.724,0.163,8.878
159008,-2.021,0.105,9.615
159067,-2.116,0.029,9.012
159127,-2.107,-0.22,9.328
159188,-1.274,-0.23,9.088
159243,-1.274,0.115,9.002
159247,-1.159,0.115,9.002
159307,-0.776,-0.01,9.031
159367,-1.044,-0.01,9.175
159427,-1.245,-0.115,8.447
159483,-1.245,-0.115,9.989
159487,-1.226,-0.115,9.989
159547,-1.551,0.01,10.391
159607,-1.494,-0.067,9.663
159668,-1.216,-0.201,9.979
159727,-1.264,0.01,9.433
159787,-1.034,0.029,9.462
159847,-1.36,0.364,9.357
159908,-1.216,0.144,8.772
159967,-1.465,0.105,8.466
160028,-1.274,0.105,8.926
160088,-1.044,0.22,8.763
160147,-0.891,0.546,9.586
160208,-1.207,-0.345,9.299
160267,-1.389,-0.019,8.993
160327,-1.255,0.0,9.95
160387,-1.073,-0.153,10.19
160443,-1.475,-0.038,10.716
160508,-1.389,0.287,9.309
160567,-0.69,0.373,9.012
160627,-0.804,0.642,9.548
160683,-1.025,-0.067,10.4
160743,-0.929,0.373,10.621
160808,-1.484,0.211,9.606
160867,-1.379,0.115,9.519
160923,-1.14,0.22,8.897
160987,-1.197,-0.182,9.424
161048,-1.341,0.038,10.027
161108,-0.824,0.517,9.27
161167,-1.12,0.536,10.171
161228,-1.053,0.527,10.611
161287,-0.287,0.469,9.28
161348,-0.986,0.536,10.716
161408,-1.513,0.364,10.582
161463,-0.326,0.22,10.017
161529,-1.532,0.077,10.247
161583,-0.737,0.594,9.893
161648,-0.699,0.508,9.874
161707,-1.149,0.029,10.104
161768,-0.967,0.728,10.736
161827,-1.245,0.134,9.596
161887,-0.757,0.345,10.582
161947,-1.226,0.584,9.337
162008,-0.584,0.785,8.916
162067,-0.9,0.555,10.218
162127,-0.718,0.479,10.333
162187,-0.843,0.814,10.391
162248,-1.111,0.086,11.214
162308,-0.939,0.086,10.534
162367,-0.555,-0.105,10.381
162427,-1.484,-0.086,9.653
162488,-0.306,0.048,9.615
162547,-0.871,-0.498,10.305
162608,-0.622,-0.249,8.447
162667,0.297,-0.038,10.209
162727,-0.067,-0.469,11.329
162788,-0.086,-0.488,8.993
162847,1.006,0.91,9.184
162908,-1.178,0.613,9.002
162967,-0.661,0.613,9.222
163028,-1.13,0.354,9.27
163087,-0.402,0.306,9.29
163147,-0.182,0.038,10.314
163208,-0.364,0.316,9.807
163268,-0.345,0.201,9.194
163327,-0.594,0.699,10.18
163387,-0.555,0.287,9.606
163447,-0.69,0.603,10.477
163507,-0.871,0.115,10.918
163567,-0.287,0.249,10.621
163627,-0.68,0.345,8.772
163688,-0.431,0.316,9.778
163752,0.01,0.211,9.548
163814,-0.287,0.508,9.079
163887,0.038,0.057,10.87
163947,-0.316,0.105,10.611
164007,0.115,-0.153,10.63
164068,0.201,0.192,9.979
164128,0.642,0.278,10.793
164188,0.421,0.421,11.042
164247,0.517,0.163,11.071
164307,0.316,0.105,9.615
164367,0.536,-0.019,10.353
164428,0.306,-0.038,8.466
164487,0.651,-0.077,10.209
164548,0.249,0.622,9.002
164607,1.197,0.22,8.839
164663,1.197,0.0,11.08
164668,0.105,0.0,11.08
164727,0.785,0.431,9.069
164787,0.594,0.144,10.104
164848,0.412,0.326,9.395
164907,0.326,-0.287,8.983
164967,0.651,-0.057,9.155
165027,0.517,-0.91,11.607
165087,0.517,-0.144,12.096
165148,0.23,0.192,11.301
165208,0.508,-1.034,11.55
165268,0.632,-0.326,12.249
165323,0.996,0.527,10.582
165387,1.092,-0.163,10.18
165447,1.963,0.057,10.918
165508,2.279,-0.412,9.318
165568,2.193,-0.134,9.222
165627,1.551,-0.508,10.707
165683,1.551,-0.479,9.376
165687,1.743,-0.479,9.376
165748,1.599,-0.412,10.755
165807,0.958,-0.469,11.272
165867,1.887,-0.699,9.701
165928,1.35,-0.268,9.558
165987,1.906,-0.182,11.281
166048,2.998,-0.297,9.041
166107,3.304,-0.249,10.889
166167,2.26,-0.077,9.299
166227,1.915,-0.622,10.793
166287,3.045,-0.824,9.855
166348,3.371,-0.852,8.38
166407,2.729,-0.326,9.816
166467,2.662,-0.163,9.653
166528,2.193,-0.316,11.1
166588,3.563,-0.326,10.755
166648,3.294,-0.048,10.017
166707,2.911,-0.268,9.548
166767,3.409,-0.565,9.041
166830,3.409,-0.747,9.673
166843,2.911,-0.747,9.673
166908,3.505,-0.527,9.414
166968,3.323,-0.527,9.098
167027,3.63,-0.709,9.701
167087,3.553,-0.776,9.347
167148,3.333,-0.891,10.104
167207,2.576,-0.479,9.586
167267,2.413,-1.168,10.42
167327,2.931,-1.073,9.491
167387,3.17,-1.168,8.667
167443,2.873,-1.676,10.669
167508,2.863,-1.369,10.151
167563,2.116,-1.714,9.692
167628,0.939,-1.647,9.72
167687,0.565,-1.494,9.222
167748,0.182,-1.8,10.218
167808,0.345,-2.308,10.63
167867,0.632,-2.423,10.736
167928,0.144,-2.48,9.797
167988,0.096,-2.279,10.218
168047,0.412,-2.241,9.845
168107,-0.077,-2.078,10.161
168167,0.048,-1.982,8.859
168227,-0.067,-1.513,8.887
168287,0.373,-1.302,9.797
168348,-0.498,-1.504,10.171
168407,-0.23,-0.709,9.941
168467,-0.709,-0.814,9.835
168528,-0.737,-0.211,9.663
168583,-0.594,0.239,10.544
168647,-0.881,0.086,10.697
168707,-1.628,-0.105,9.414
168767,-1.638,0.287,9.414
168825,-0.881,-0.038,10.448
168887,-1.235,0.852,9.922
168947,-0.843,1.13,10.965
169008,-1.044,0.9,9.29
169068,-1.398,1.274,9.395
169127,-1.178,1.973,9.72
169187,-0.632,1.829,9.414
169247,-0.737,2.03,8.533
169307,-1.197,1.877,9.127
169368,-0.718,2.442,8.82
169428,-0.91,2.298,10.036
169488,-0.421,2.806,9.874
169543,-0.488,2.184,9.146
169607,-0.699,1.858,9.357
169663,-0.565,2.471,10.19
169728,-0.498,2.634,10.104
169787,-1.274,2.701,8.878
169847,-0.373,3.323,9.797
169907,-0.527,3.352,9.845
169968,-1.523,2.586,8.15
170028,-0.948,2.768,10.573
170087,-1.599,3.457,8.035
170143,-0.785,3.467,9.098
170208,-0.843,2.136,8.964
170263,-0.843,3.112,7.355
170267,-1.149,3.112,7.355
170327,-0.527,3.448,9.347
170387,-0.278,3.936,8.341
170448,-0.795,4.262,6.876
170507,-0.757,2.394,9.596
170563,-0.345,2.452,10.314
170628,-1.159,2.002,9.893
170687,-1.465,1.226,9.27
170748,-1.465,-0.105,9.328
170808,-0.785,-0.776,9.768
170867,-1.006,-1.609,10.266
170928,-1.188,-1.848,10.783
170987,-1.293,-1.686,10.688
171047,-1.465,-1.484,9.357
171107,-1.695,-0.996,10.228
171168,-1.456,-1.753,10.266
171228,-1.475,-2.155,10.688
171288,-0.996,-2.164,9.931
171347,-0.986,-2.701,10.448
171408,-1.197,-2.375,11.454
171467,-1.571,-2.653,10.745
171528,-1.657,-2.519,10.611
171587,-1.571,-3.17,10.218
171648,-1.484,-0.891,10.333
171708,-1.915,-2.49,8.945
171768,-1.762,-2.126,9.376
171827,-1.302,-2.365,9.452
171887,-1.647,-1.686,9.797
171948,-2.011,-2.241,10.621
172008,-1.446,-1.695,9.835
172067,-1.159,-1.657,10.056
172127,-1.12,-1.839,10.582
172187,-1.312,-2.049,10.046
172248,-1.676,-2.069,10.554
172308,-1.599,-1.456,9.778
172363,-1.599,-0.958,10.104
172368,-1.073,-0.958,10.104
172427,-1.523,-1.686,10.075
172487,-1.331,-1.101,10.046
172548,-1.255,-0.306,10.276
172607,-1.877,-1.082,10.994
172668,-1.178,-1.341,10.544
172728,-1.14,-1.073,10.075
172788,-0.824,-1.149,10.841
172847,-1.705,-1.235,10.199
172907,-0.967,-0.814,9.29
172967,-1.504,-0.632,9.136
173027,-1.513,-0.651,9.395
173087,-1.264,-0.651,10.19
173143,-1.264,-0.996,9.251
173148,-1.666,-0.996,9.251
173208,-0.833,-0.824,9.433
173268,-1.877,-0.239,8.255
173328,-1.896,-0.766,8.993
173388,-1.848,-0.364,9.012
173443,-1.848,-0.642,8.945
173447,-1.369,-0.642,8.945
173502,-1.168,-0.373,9.998
173568,-1.657,-0.211,8.763
173627,-1.092,-0.421,8.724
173687,0.45,-0.824,7.93
173747,-1.168,-0.469,9.73
173816,-1.053,-0.642,9.816
173887,-1.427,-0.402,9.778
173948,-1.389,-0.527,9.184
174007,-0.891,-0.594,9.222
174067,-1.35,-0.536,9.72
174128,-1.331,0.498,9.491
174187,-1.532,-0.316,9.711
174248,-1.312,0.057,9.021
174308,-1.341,-0.163,9.807
174369,-1.274,-0.383,9.203
174427,-0.891,0.134,9.069
174483,-0.996,0.048,10.065
174547,-1.331,0.383,8.562
174607,-1.274,0.144,8.514
174667,-0.594,0.393,9.855
174728,-1.398,-0.105,10.065
174787,-1.446,-0.096,9.5
174847,-1.542,-0.259,9.347
174907,-1.053,-0.383,10.544
174963,-1.417,-0.91,9.787
175028,-1.379,-0.622,9.194
175088,-0.833,-0.23,11.339
175148,-0.804,-0.057,9.835
175207,-1.312,-0.01,9.471
175267,-1.551,-0.105,10.496
175324,-1.484,0.086,8.878
175387,-1.159,-0.115,8.428
175450,-0.862,0.259,9.883
175507,-0.278,-0.23,9.673
175567,-0.757,0.488,9.682
175627,-0.555,0.096,10.621
175687,-0.546,0.278,10.592
175748,-1.14,0.316,9.462
175807,-1.159,-0.144,11.454
175868,-0.527,0.144,9.787
175927,-0.709,0.096,9.826
175987,-0.488,0.441,9.883
176047,-0.201,0.316,9.807
176108,-0.019,0.077,10.621
176168,-0.929,0.441,9.855
176227,-0.508,-0.019,10.075
176287,-0.124,0.239,9.96
176348,-0.345,0.153,10.257
176407,-0.45,0.057,9.021
176467,0.201,0.23,9.883
176527,-0.441,-0.153,9.184
176587,0.421,0.153,9.826
176648,-0.019,-0.287,8.313
176708,0.747,-0.144,8.6
176767,0.546,-0.402,9.749
176835,0.421,-0.01,11.013
176888,0.335,0.134,9.146
176947,0.211,-0.287,9.012
177007,0.096,-0.172,7.556
177067,0.182,-0.153,9.194
177128,0.575,-0.728,8.878
177187,1.015,0.057,8.418
177248,0.086,0.364,9.5
177303,0.718,0.172,8.265
177368,1.389,0.776,9.347
177428,1.647,-0.268,8.389
177487,1.178,-0.412,10.755
177548,1.159,0.067,9.165
177608,1.082,-0.22,10.113
177668,1.542,0.163,12.067
177727,1.293,0.134,8.437
177787,0.642,-0.182,9.96
177847,0.68,0.498,8.954
177908,0.699,0.326,8.073
177968,1.791,-0.134,9.146
178027,1.59,-0.23,10.065
178087,1.293,-0.048,10.142
178147,0.776,-0.182,9.749
178207,0.986,-0.153,9.002
178267,0.929,-0.086,8.983
178327,1.59,0.278,8.715
178387,1.226,0.278,9.845
178447,1.255,-0.067,10.257
178508,1.437,0.096,10.678
178568,1.245,0.278,10.084
178628,0.699,0.594,8.514
178687,1.159,-0.105,8.926
178747,1.504,0.0,8.686
178807,1.839,0.306,10.477
178867,0.555,-0.077,10.084
178927,0.737,-0.661,8.552
178988,0.785,-0.555,9.596
179047,0.996,-0.22,8.447
179103,0.852,-0.354,10.324
179167,0.757,-0.249,9.73
179227,1.025,-0.919,10.659
179287,0.651,-0.824,10.171
179348,0.335,-0.029,9.088
179408,-0.45,0.115,8.485
179463,-0.45,-0.948,9.452
179468,0.182,-0.948,9.452
179528,0.594,-0.211,10.487
179587,0.785,0.402,8.734
179643,1.551,-0.163,8.475
179708,1.283,0.163,7.987
179763,1.274,-0.019,7.805
179831,0.699,0.23,8.552
179887,0.642,0.46,8.868
179948,1.149,-0.077,9.194
180008,1.504,-0.402,7.106
180068,1.35,-0.287,9.778
180127,1.446,-0.373,9.625
180187,1.858,-0.364,8.954
180248,1.264,-0.259,8.734
180308,1.829,-0.555,8.648
180363,1.197,-0.747,9.242
180427,1.571,-0.766,7.652
180487,1.446,-0.699,9.443
180548,1.542,-1.063,10.276
180608,1.743,-0.986,8.255
180667,1.14,-0.91,8.389
180727,1.197,-1.111,10.42
180784,0.967,-0.939,9.883
180847,1.379,-1.006,10.391
180907,1.235,-0.852,9.673
180967,1.599,-1.025,10.324
181027,1.111,-0.661,9.108
181088,1.724,-0.565,9.519
181148,1.753,-0.469,10.123
181207,1.437,-0.776,10.027
181268,1.676,-0.785,9.29
181327,1.58,-1.427,9.96
181387,0.766,-1.197,10.994
181448,1.264,-0.824,8.638
181503,0.919,-1.513,9.328
181568,0.479,-1.293,11.291
181627,0.67,-1.168,9.136
181687,0.67,-1.925,9.337
181747,0.536,-2.26,10.994
181803,0.517,-2.136,9.653
181867,0.268,-2.136,9.519
181928,0.929,-2.806,11.32
181987,0.239,-2.279,10.027
182043,0.67,-2.203,9.088
182108,0.488,-2.528,10.171
182167,0.718,-2.04,10.745
182227,-0.642,-2.318,7.949
182287,0.402,-3.275,8.38
