Time since start in ms ,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Speed ( Kmh),LOCATION ORIENTATION (°),Satellites in range,LOCATION Altitude ( m)
45801,-36.86006,174.78288,25.2,184.8,13,101.3
46785,-36.86014,174.78288,31.1,188.8,13,101.4
47793,-36.86024,174.78287,35.5,188.9,13,101.5
48789,-36.86034,174.78284,39.7,190.1,15,101.7
49797,-36.86045,174.7828,43.8,198.0,15,101.9
50823,-36.86057,174.78276,47.4,203.3,15,102.1
51819,-36.8607,174.78268,51.4,204.8,15,102.2
52803,-36.86082,174.78262,53.7,205.1,15,102.4
53818,-36.86095,174.78256,54.4,204.3,15,102.4
54797,-36.86108,174.78249,53.3,203.3,15,102.1
55818,-36.8612,174.78244,51.9,203.0,15,101.8
56804,-36.86131,174.78236,50.5,202.9,15,101.6
57793,-36.86142,174.78232,47.8,203.1,15,101.4
58792,-36.86152,174.78226,44.6,203.9,15,101.3
59798,-36.86161,174.78223,40.4,204.2,16,101.3
60813,-36.86168,174.78218,35.3,203.4,16,101.3
61833,-36.86174,174.78217,28.8,194.2,17,101.3
62798,-36.86178,174.78214,24.2,177.8,17,101.3
63810,-36.86183,174.78217,21.9,164.8,17,101.4
64813,-36.86188,174.78217,21.4,153.2,17,101.5
65791,-36.86193,174.7822,23.5,137.6,17,101.6
66826,-36.86197,174.78226,25.6,128.8,17,101.7
67791,-36.86202,174.78236,31.6,128.9,17,101.8
68841,-36.86209,174.78244,36.1,130.7,17,101.9
69799,-36.86216,174.78256,39.5,131.8,17,101.9
70796,-36.86223,174.78265,41.6,131.3,14,101.9
71828,-36.86231,174.78276,44.0,129.1,14,101.6
72803,-36.86239,174.78288,45.2,128.9,14,101.3
73803,-36.86246,174.783,45.7,129.9,14,101.2
74817,-36.86255,174.78313,47.5,130.6,14,100.9
75786,-36.86263,174.78322,48.8,131.0,14,100.6
76815,-36.86271,174.78334,48.7,130.2,15,100.4
77783,-36.86279,174.78346,48.5,129.4,14,100.1
78794,-36.86286,174.78358,47.5,129.0,15,99.9
79797,-36.86286,174.78358,46.9,127.4,15,99.7
79798,-36.86293,174.78368,46.9,127.4,15,99.7
80802,-36.86301,174.7838,46.2,121.9,14,99.6
81812,-36.86307,174.78392,46.2,116.8,14,99.3
82794,-36.86312,174.78406,46.4,113.6,14,98.9
83800,-36.86317,174.7842,45.1,113.3,14,98.6
84798,-36.86321,174.78432,44.3,113.4,13,98.3
85805,-36.86326,174.78444,45.2,113.4,13,97.9
86805,-36.8633,174.7846,46.5,113.5,12,97.3
87792,-36.86335,174.78471,47.5,114.0,13,96.6
88800,-36.86341,174.78488,47.9,114.5,13,95.7
89823,-36.86346,174.785,49.0,115.1,14,94.8
90803,-36.86352,174.78516,49.8,115.1,15,93.8
91798,-36.86358,174.7853,50.9,114.7,15,92.8
92777,-36.86364,174.78546,51.6,114.4,15,91.8
93787,-36.86369,174.7856,51.8,112.9,16,91.0
94798,-36.86375,174.78577,51.9,110.9,14,90.1
95791,-36.86379,174.78592,53.0,106.7,14,89.3
96793,-36.86383,174.78609,56.1,103.2,13,88.3
97807,-36.86386,174.78625,55.7,101.8,12,87.1
98797,-36.86389,174.78642,54.3,101.8,12,85.9
99815,-36.86392,174.78658,52.2,101.5,12,84.5
100807,-36.86392,174.78658,48.9,102.2,11,83.1
100813,-36.86394,174.78671,48.9,102.2,11,83.1
101789,-36.86397,174.78683,43.9,105.1,11,81.7
102792,-36.864,174.78696,39.9,109.7,11,80.3
103798,-36.86403,174.78706,35.4,114.7,11,79.0
104790,-36.86406,174.78714,31.4,117.6,11,77.9
