Time since start in ms ,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Speed ( Kmh),LOCATION ORIENTATION (°),Satellites in range,LOCATION Altitude ( m)
105789,-36.8641,174.7872,28.5,114.7,12,76.7
106806,-36.86412,174.78728,26.7,100.6,14,75.3
107803,-36.86412,174.78735,28.2,86.0,14,74.1
108808,-36.86411,174.78746,29.7,98.4,14,73.5
109808,-36.86413,174.78757,31.5,120.2,14,72.9
110794,-36.86418,174.78764,35.6,138.8,14,72.4
111813,-36.86427,174.78773,39.8,138.4,17,71.7
112803,-36.86435,174.78784,44.1,135.9,17,71.5
113817,-36.86445,174.78796,47.2,135.6,17,70.9
114797,-36.86454,174.78806,49.3,132.3,17,70.2
115812,-36.86463,174.78818,50.3,129.7,17,69.7
116804,-36.86471,174.7883,52.3,126.4,17,69.2
117799,-36.8648,174.78844,53.5,125.9,17,68.9
118798,-36.86488,174.78857,53.7,125.9,17,69.0
119811,-36.86496,174.78873,53.5,125.4,18,68.8
120798,-36.86504,174.78883,53.0,123.8,18,68.4
121793,-36.86511,174.78899,52.3,123.8,18,67.9
122799,-36.86518,174.78912,51.6,123.4,18,67.6
123783,-36.86525,174.78925,50.6,121.9,18,67.4
124799,-36.86531,174.78935,50.0,121.5,18,67.1
125794,-36.86538,174.78952,51.1,114.7,18,66.8
126800,-36.86543,174.78966,51.1,107.5,18,66.5
127814,-36.86545,174.7898,50.8,97.9,18,66.3
128797,-36.86546,174.78996,49.4,86.9,18,66.1
129804,-36.86545,174.79012,49.5,76.4,18,65.9
130807,-36.86542,174.79028,49.5,69.6,18,65.6
131791,-36.86537,174.79044,51.3,65.2,18,65.1
132802,-36.86532,174.7906,52.3,62.1,18,64.6
133810,-36.86525,174.79074,52.1,62.0,18,63.9
134792,-36.86519,174.79088,52.6,64.8,17,63.3
135796,-36.86513,174.79105,53.2,71.3,17,62.6
136804,-36.8651,174.7912,53.9,79.9,17,62.0
137791,-36.86508,174.79138,54.6,83.7,18,61.4
138804,-36.86506,174.79156,55.5,85.1,18,60.9
139794,-36.86506,174.79173,56.2,85.3,18,60.5
140804,-36.86505,174.79192,57.5,86.0,18,60.2
141799,-36.86505,174.7921,58.0,85.9,17,59.7
142811,-36.86505,174.79228,58.5,85.9,17,59.3
143791,-36.86504,174.79248,58.8,86.2,17,59.0
144788,-36.86504,174.79266,59.2,86.3,17,58.5
145820,-36.86503,174.79285,59.6,86.2,17,58.1
146805,-36.86503,174.79305,59.1,87.2,17,57.3
147811,-36.86503,174.79321,58.7,86.9,17,56.5
148788,-36.86502,174.7934,58.1,87.0,17,55.9
149788,-36.86502,174.79358,57.2,87.1,17,55.2
150803,-36.86502,174.79376,56.5,87.0,17,54.7
151791,-36.86501,174.79391,55.8,86.6,17,54.2
152803,-36.865,174.7941,55.3,85.0,17,53.8
153794,-36.86499,174.79428,56.5,74.0,17,53.4
154798,-36.86494,174.79443,58.2,66.1,17,53.1
155803,-36.86488,174.79462,59.7,65.3,17,52.8
156802,-36.86482,174.7948,61.3,64.6,17,52.6
157791,-36.86475,174.79495,63.0,64.7,17,52.4
158808,-36.86467,174.79517,65.4,63.6,17,52.3
159803,-36.8646,174.79533,66.5,63.2,17,52.0
160796,-36.86453,174.79552,67.2,64.2,18,51.6
161787,-36.86446,174.79572,67.5,64.9,18,51.3
162794,-36.86439,174.79591,67.9,65.9,18,51.1
163787,-36.86439,174.79591,66.7,68.4,18,50.8
163788,-36.86433,174.7961,66.7,68.4,18,50.8
164795,-36.86427,174.7963,65.8,72.2,18,50.7
165801,-36.86423,174.7965,66.4,75.5,18,50.6
166802,-36.86419,174.79668,63.5,77.6,18,51.2
167799,-36.86416,174.79688,61.6,77.6,18,51.7
168811,-36.86414,174.79707,59.8,76.7,18,52.2
169795,-36.86412,174.79724,58.6,77.2,18,52.8
170807,-36.86408,174.79744,56.7,76.5,18,53.3
171792,-36.86403,174.7976,57.3,76.1,18,53.8
172820,-36.86402,174.79776,54.6,76.2,18,54.3
173790,-36.864,174.79794,55.1,75.9,18,54.8
174794,-36.86397,174.7981,53.0,79.3,18,56.2
175805,-36.86395,174.79826,51.9,86.2,17,57.5
176792,-36.86394,174.79842,51.5,90.9,17,58.8
177801,-36.86394,174.79858,50.9,94.4,18,60.2
178798,-36.86396,174.79874,50.9,95.7,18,61.5
179787,-36.86397,174.79887,50.1,96.0,18,62.8
180803,-36.86399,174.79904,46.8,95.9,18,63.9
181805,-36.86401,174.79918,47.5,95.5,18,64.8
182797,-36.86402,174.79932,46.3,95.8,18,65.6
183782,-36.86403,174.79945,45.8,95.9,18,66.4
184785,-36.86403,174.79945,41.3,96.6,18,67.0
184787,-36.86404,174.7996,41.3,96.6,18,67.0
185803,-36.86406,174.79971,36.5,97.1,18,67.7
186788,-36.86408,174.7998,30.6,97.5,18,68.3
187802,-36.86408,174.7999,29.8,94.0,18,68.8
188804,-36.86409,174.8,31.2,91.1,17,69.0
189810,-36.8641,174.8001,32.8,95.1,18,69.3
190783,-36.86411,174.8002,35.1,100.1,18,69.5
191796,-36.86412,174.80032,39.3,97.8,18,69.7
192798,-36.86414,174.80045,44.8,96.5,18,69.8
193796,-36.86415,174.8006,47.3,95.8,18,69.5
194806,-36.86417,174.80077,49.3,96.4,18,69.2
195807,-36.86419,174.80092,49.2,96.8,17,68.9
196803,-36.8642,174.80106,44.5,97.0,18,68.8
197817,-36.86422,174.8012,37.8,96.6,18,68.9
198798,-36.86424,174.8013,31.7,96.5,18,68.9
199804,-36.86425,174.8014,27.6,96.1,18,69.0
200809,-36.86426,174.80148,17.6,96.2,18,69.2
201802,-36.86427,174.80151,18.7,95.9,18,69.0
202788,-36.86429,174.8016,19.0,95.5,18,68.8
203784,-36.86431,174.80168,26.4,95.1,18,68.7
204809,-36.8643,174.80176,28.1,95.5,18,68.6
205797,-36.8643,174.80176,34.9,94.9,18,68.5
205802,-36.8643,174.80186,34.9,94.9,18,68.5
206800,-36.86431,174.80199,39.3,94.3,18,68.6
207807,-36.86431,174.80212,41.4,95.3,18,68.7
208808,-36.86432,174.80225,39.0,99.2,17,68.7
209797,-36.86433,174.80235,36.1,107.3,17,68.7
210794,-36.86436,174.80247,40.5,114.9,17,68.7
211802,-36.86442,174.80258,43.3,123.2,17,68.6
212807,-36.86449,174.8027,44.9,130.2,17,68.6
213798,-36.86459,174.80283,43.1,134.4,17,68.6
214800,-36.86468,174.80292,46.3,136.2,16,68.5
215793,-36.86479,174.80304,51.4,136.5,17,68.2
216808,-36.8649,174.80316,51.7,136.0,16,68.0
217804,-36.865,174.80328,52.1,136.6,16,67.8
218787,-36.86511,174.80338,52.1,136.7,15,67.2
219803,-36.8652,174.80348,48.4,136.9,15,66.6
220808,-36.86529,174.8036,49.7,136.4,15,65.9
221808,-36.86539,174.80373,52.3,136.5,15,65.1
222793,-36.86548,174.80383,52.7,137.3,15,62.9
223808,-36.86558,174.80394,53.4,136.1,15,61.0
224803,-36.86568,174.80406,53.3,129.8,15,59.4
225798,-36.86576,174.8042,56.9,121.3,16,58.1
226800,-36.86582,174.80437,58.8,113.0,16,57.0
227799,-36.86587,174.80453,61.4,105.4,17,56.1
228792,-36.8659,174.80472,59.2,101.5,17,55.4
229802,-36.86593,174.80489,57.9,99.7,17,55.0
230787,-36.86597,174.80508,56.5,101.3,17,54.6
231824,-36.866,174.80524,55.2,100.8,18,54.1
232807,-36.86603,174.8054,52.6,101.9,18,53.7
233801,-36.86606,174.80556,51.6,101.9,18,53.4
234793,-36.86608,174.80573,51.4,101.6,18,53.0
235839,-36.86612,174.80588,51.2,102.2,18,52.7
236803,-36.86616,174.80605,51.3,102.5,18,52.6
237808,-36.86619,174.80618,49.8,106.3,18,52.4
238792,-36.86622,174.80632,49.0,113.2,18,52.2
239803,-36.86629,174.80644,46.1,122.6,18,51.9
240803,-36.86636,174.80656,47.0,129.0,18,51.6
241797,-36.86644,174.80669,44.1,130.5,18,51.3
242798,-36.86651,174.80676,39.0,130.6,18,51.1
243798,-36.86657,174.80684,30.3,130.6,18,51.3
244803,-36.86662,174.80692,23.6,131.4,17,51.4
245793,-36.86665,174.80696,17.9,129.3,17,51.4
246788,-36.86668,174.807,15.8,124.7,18,51.5
247799,-36.8667,174.80704,16.0,117.3,18,51.7
248788,-36.86672,174.80708,18.3,108.2,17,51.9
249793,-36.86673,174.80716,20.1,106.1,18,52.1
250813,-36.86676,174.8072,22.0,121.7,18,52.2
251793,-36.8668,174.80724,23.3,148.6,18,52.3
252805,-36.86685,174.80728,21.9,177.7,18,52.5
253805,-36.8669,174.80727,23.3,213.6,18,52.5
254813,-36.86696,174.8072,27.6,236.2,18,52.4
255788,-36.86699,174.80711,32.6,232.7,18,52.2
256797,-36.86704,174.80702,37.9,224.3,18,52.0
257795,-36.86712,174.80692,44.3,220.8,18,51.8
258807,-36.8672,174.80682,47.7,220.3,18,51.7
259798,-36.86729,174.8067,52.5,219.2,18,51.7
260805,-36.86739,174.80658,55.4,219.3,18,51.8
261789,-36.86749,174.80644,57.4,220.8,18,52.0
262789,-36.86761,174.80632,57.7,221.3,18,52.2
263798,-36.86772,174.80621,56.7,221.9,18,52.5
264796,-36.86782,174.8061,55.8,222.1,18,52.9
265803,-36.86793,174.80598,55.6,219.3,18,53.2
266807,-36.86804,174.80588,53.5,213.5,18,53.7
267807,-36.86816,174.8058,53.0,203.5,18,54.1
268790,-36.86828,174.80574,52.6,193.4,18,54.5
269792,-36.86841,174.80573,52.2,186.6,18,54.8
270787,-36.86855,174.8057,52.3,184.6,19,55.1
271795,-36.86868,174.80568,52.7,184.1,19,55.5
272798,-36.86881,174.80568,53.5,184.4,19,55.7
273798,-36.86894,174.80566,52.8,187.9,19,56.0
274802,-36.86908,174.80562,55.1,192.7,19,56.4
275802,-36.86921,174.80557,55.4,195.1,18,56.7
276790,-36.86935,174.80553,55.6,196.5,18,57.0
277787,-36.86948,174.80548,55.5,196.6,18,57.2
278813,-36.86962,174.80542,55.3,196.4,19,57.6
279808,-36.86976,174.80536,55.3,196.0,19,58.1
280808,-36.86989,174.80531,54.8,196.0,19,59.0
281808,-36.87002,174.80528,55.4,195.7,19,60.0
282803,-36.87016,174.80522,55.3,192.0,19,60.9
283808,-36.87029,174.80518,56.1,189.4,19,62.0
284798,-36.87043,174.80516,56.9,189.3,19,62.9
285790,-36.87058,174.80511,57.3,188.4,19,63.8
286797,-36.87072,174.80508,56.5,188.6,19,64.8
287795,-36.87086,174.80504,57.5,189.5,19,65.7
288812,-36.871,174.80502,57.7,189.4,19,66.5
289794,-36.87114,174.805,57.7,190.1,19,67.3
290797,-36.87129,174.80496,57.7,189.9,18,68.0
291832,-36.87143,174.80492,57.6,187.8,19,68.6
292797,-36.87157,174.80492,54.7,181.3,19,69.4
293797,-36.87171,174.80492,55.2,176.9,19,70.2
294807,-36.87185,174.80492,54.0,173.6,19,71.1
295798,-36.87198,174.80495,54.1,171.1,19,71.8
296787,-36.87212,174.80496,53.4,171.5,19,72.5
297783,-36.87225,174.805,52.5,170.8,19,73.0
298798,-36.87237,174.80502,49.8,171.0,19,73.4
299816,-36.8725,174.80504,49.8,177.5,19,73.9
300803,-36.87262,174.80504,49.6,185.5,19,74.1
301793,-36.87275,174.805,51.1,190.5,19,74.3
302790,-36.87287,174.80496,52.4,193.5,19,74.3
303820,-36.873,174.80492,53.3,196.0,19,74.4
304814,-36.87313,174.80486,52.9,204.3,19,74.4
305801,-36.87324,174.80478,50.9,213.2,19,74.3
306799,-36.87335,174.80469,54.9,221.6,19,74.2
307792,-36.87345,174.80457,57.1,224.6,19,74.2
308797,-36.87355,174.80441,56.6,225.4,19,74.2
309798,-36.87365,174.80428,56.9,225.1,19,74.3
310783,-36.87375,174.80415,55.2,226.0,19,74.5
311799,-36.87384,174.80405,53.5,223.3,19,74.8
312802,-36.87394,174.80394,51.0,212.2,19,75.0
313796,-36.87405,174.80388,51.5,202.3,19,75.4
314799,-36.87418,174.8038,51.6,197.8,19,75.4
315785,-36.8743,174.80376,50.9,196.0,19,75.4
316787,-36.87442,174.80373,48.3,195.2,19,75.3
317791,-36.87453,174.80368,44.1,196.3,19,75.3
318787,-36.87463,174.80363,39.8,197.2,19,75.4
319797,-36.87472,174.8036,34.9,197.3,19,75.4
320807,-36.8748,174.80357,29.1,196.4,19,75.5
321808,-36.87486,174.80356,20.0,196.4,19,75.7
322809,-36.8749,174.80354,15.2,211.7,19,75.7
323817,-36.87492,174.80351,10.8,230.0,19,75.7
324799,-36.87493,174.80348,7.5,252.8,19,75.7
325805,-36.87492,174.80347,7.4,269.2,19,75.7
326792,-36.87492,174.80344,8.3,282.0,19,75.7
327804,-36.87491,174.8034,10.3,284.5,19,75.7
328794,-36.8749,174.80338,10.6,284.7,19,75.7
329792,-36.8749,174.80334,11.6,284.1,18,75.7
330792,-36.87489,174.8033,12.3,284.5,18,75.8
331789,-36.87488,174.80328,9.6,285.0,18,75.8
332797,-36.87488,174.80324,9.4,287.9,19,75.8
333803,-36.87487,174.8032,8.6,289.9,19,75.9
334820,-36.87487,174.8032,6.6,289.8,19,75.9
335823,-36.87486,174.80316,5.6,283.5,19,76.0
336805,-36.87485,174.80316,3.3,278.9,19,76.0
