Time since start in ms ,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
8918,-0.297,-0.345,9.529
8978,-0.335,-0.393,9.529
9037,-0.23,-0.421,9.539
9098,-0.144,-0.431,9.634
9157,-0.134,-0.431,9.711
9213,-0.134,-0.373,9.653
9217,-0.182,-0.373,9.653
9278,-0.259,-0.316,9.644
9338,-0.211,-0.354,9.625
9397,-0.144,-0.335,9.845
9463,-0.144,-0.306,9.95
9537,-0.239,-0.335,9.816
9597,-0.22,-0.316,9.845
9658,-0.23,-0.306,9.74
9718,-0.144,-0.402,9.395
9779,-0.172,-0.354,9.941
9841,-0.211,-0.306,9.816
9898,-0.172,-0.431,9.433
9957,-0.163,-0.326,10.104
10013,-0.297,-0.306,9.835
10073,-0.153,-0.441,9.462
10137,-0.153,-0.259,9.826
10197,-0.201,-0.364,9.471
10257,-0.134,-0.469,9.883
10313,-0.192,-0.268,9.893
10378,-0.172,-0.412,9.347
10437,-0.172,-0.326,10.017
10497,-0.23,-0.211,9.73
10558,-0.192,-0.45,9.385
10618,-0.134,-0.393,9.931
10672,-0.297,-0.354,9.72
10733,-0.105,-0.373,9.615
10796,-0.211,-0.201,9.625
10857,-0.115,-0.373,9.414
10917,-0.153,-0.402,10.18
10973,-0.268,-0.335,9.701
11038,0.345,-0.45,9.692
11098,0.661,-0.335,10.238
11158,0.479,-0.402,9.27
11217,0.594,-0.354,10.276
11278,0.46,-0.192,10.008
11333,0.412,-0.431,9.232
11397,0.565,-0.249,10.123
11458,0.498,-0.268,9.711
11518,0.46,-0.45,9.797
11573,0.737,-0.278,10.142
11633,1.101,-0.259,9.701
11708,1.293,-0.354,9.874
11753,1.427,-0.278,10.161
11818,2.184,-0.335,9.491
11877,2.03,-0.268,9.768
11933,2.164,-0.239,10.123
11998,2.279,-0.144,9.749
12053,2.375,-0.182,9.816
12118,2.337,-0.172,9.855
12177,2.308,-0.163,10.017
12237,2.078,-0.393,9.778
12307,1.915,-0.335,9.979
12378,1.82,-0.383,9.816
12438,1.772,-0.373,9.893
12500,2.021,-0.172,9.625
12553,2.069,-0.249,9.72
12617,1.925,-0.23,9.682
12677,1.456,-0.144,10.056
12737,1.427,-0.144,10.065
12817,1.312,-0.268,9.51
12878,1.561,-0.594,9.72
12937,1.781,-0.814,9.864
12997,1.8,-0.833,9.692
13053,1.59,-1.053,10.036
13117,1.322,-1.063,10.123
13177,1.168,-1.36,9.232
13237,1.456,-1.532,9.969
13298,1.647,-1.465,10.046
13356,1.034,-1.053,10.266
13418,1.006,-1.178,8.744
13477,1.283,-1.322,9.969
13538,0.699,-2.088,10.19
13598,1.341,-1.59,9.041
13658,0.536,-2.519,10.918
13713,1.101,-2.241,9.548
13774,1.235,-2.308,9.443
13833,0.287,-2.586,10.937
13897,0.9,-2.672,10.132
13953,1.389,-2.327,9.27
14017,0.737,-2.145,8.954
14077,0.757,-2.337,9.155
14137,0.67,-2.231,9.357
14197,1.092,-3.017,9.232
14258,1.341,-2.059,9.012
14313,1.025,-2.155,9.213
14373,0.948,-2.48,8.246
14437,1.274,-2.5,9.711
14493,0.948,-3.026,10.046
14558,-0.249,-3.515,10.726
14613,-0.249,-2.978,9.95
14617,0.057,-2.978,9.95
14683,0.766,-2.854,11.061
14744,0.22,-2.844,9.5
14797,0.939,-2.796,8.983
14857,0.01,-3.199,9.127
14917,0.622,-2.72,9.529
14977,1.044,-2.768,10.783
15037,0.852,-3.668,9.539
15097,0.986,-2.998,9.864
15158,0.45,-2.423,9.28
15217,0.862,-1.906,10.017
15277,0.747,-2.452,10.755
15338,0.23,-2.557,9.548
15397,0.383,-1.887,9.242
15453,1.618,-2.538,11.09
15517,0.402,-2.643,10.467
15578,0.096,-2.634,9.749
15637,1.015,-2.672,11.013
15698,0.613,-2.049,9.347
15757,0.69,-1.571,8.657
15815,0.029,-2.049,10.372
15878,0.757,-1.992,10.755
15937,0.622,-1.657,9.74
15998,-0.124,-0.833,10.554
16057,2.26,-3.917,8.849
16117,1.551,-1.906,8.945
16177,-1.159,-2.251,10.362
16238,0.575,-2.691,9.376
16298,1.207,-3.093,10.822
16362,0.728,-2.097,11.492
16437,-0.335,-2.222,11.061
16497,-0.776,-2.624,7.211
16558,1.523,-0.622,9.29
16614,1.551,-0.91,9.902
16673,-0.038,-1.705,9.165
16737,1.561,-2.557,9.069
16803,0.814,-2.758,9.634
16858,0.871,-2.959,10.86
16917,0.373,-3.869,9.922
16977,-0.22,-3.563,10.544
17037,1.628,-0.383,9.184
17098,-0.124,-0.766,9.73
17157,0.824,-0.919,9.098
17218,0.737,-0.757,9.759
17277,1.82,-0.862,9.328
17333,0.239,-5.066,11.253
17393,0.862,-4.654,11.291
17463,1.686,-2.519,10.602
17537,-0.172,-1.398,7.891
17597,0.278,-0.163,8.552
17657,2.241,-1.006,8.533
17717,1.551,-1.408,11.856
17773,1.12,-3.151,11.588
17837,0.843,-2.643,9.462
17897,1.293,-2.049,10.573
17958,1.034,-1.475,10.851
18017,0.996,-0.871,8.437
18078,0.575,-2.327,8.744
18137,1.149,-1.638,10.056
18193,2.327,-0.067,8.801
18257,2.471,0.134,8.571
18326,1.8,-0.728,9.606
18378,1.58,0.527,9.969
18433,0.22,-0.929,9.874
18493,0.22,-0.115,10.592
18498,0.316,-0.115,10.592
18558,0.785,-2.174,10.324
18618,1.82,-2.279,9.797
18678,1.762,-1.628,9.519
18737,1.283,-1.235,7.834
18803,0.431,0.345,12.22
18857,2.452,-1.638,6.914
18917,2.883,0.0,8.131
18973,2.26,-1.226,9.73
19037,2.356,-0.421,10.084
19097,2.164,-0.239,8.983
19153,1.034,0.23,9.357
19213,1.724,-1.015,10.956
19272,1.724,-0.326,8.83
19278,0.115,-0.326,8.83
19338,0.632,-0.508,10.027
19398,0.766,0.0,9.203
19457,2.27,-0.852,9.395
19513,1.226,-0.431,9.462
19577,2.672,0.144,8.811
19633,2.27,0.01,9.318
19697,2.088,0.239,10.036
19758,2.538,0.029,9.96
19817,1.159,-0.508,10.027
19873,1.781,-0.46,11.128
19938,1.111,-0.211,9.376
19997,1.657,-0.46,10.036
20057,1.925,-0.488,10.487
20113,1.925,-0.249,10.764
20118,0.996,-0.249,10.764
20177,1.781,0.651,9.634
20237,1.389,-0.929,12.469
20293,1.494,-0.364,10.41
20357,1.973,-0.948,9.72
20413,-0.144,-0.776,11.377
20477,0.613,1.456,8.092
20537,0.939,2.011,8.926
20597,2.873,0.642,7.575
20657,1.513,0.833,10.075
20718,0.412,0.402,12.708
20777,0.029,0.278,10.439
20838,1.714,0.038,11.674
20897,0.192,-0.488,10.592
20957,0.862,0.0,9.471
21013,1.59,0.517,10.429
21078,1.484,-0.029,9.404
21138,0.239,0.996,8.303
21197,0.278,0.239,7.843
21258,0.632,0.153,8.82
21317,1.446,-1.044,8.159
21377,1.504,0.134,9.117
21433,1.111,0.105,9.433
21497,2.155,0.239,13.015
21557,0.919,0.373,7.834
21618,0.804,0.297,9.347
21677,1.81,-1.293,9.29
21738,0.737,-0.737,11.703
21798,1.504,-0.536,9.73
21858,1.025,0.029,13.024
21917,1.982,0.278,8.303
21977,0.709,-0.019,11.167
22037,2.557,-0.594,6.206
22098,2.375,-0.939,6.838
22157,2.356,-0.192,8.543
22217,0.412,-0.153,9.864
22277,1.714,0.239,9.567
22338,0.22,-0.268,9.088
22397,-0.536,0.891,7.221
22457,0.709,0.115,10.008
22518,0.661,-0.105,8.581
22577,2.375,-0.891,11.052
22637,0.948,-0.45,8.973
22697,1.408,0.632,10.171
22757,0.843,-0.259,9.864
22817,1.015,-1.178,8.648
22877,1.053,-0.239,8.198
22937,0.575,-0.747,11.042
22992,0.795,0.527,10.18
23058,-0.22,1.14,7.566
23117,2.662,0.297,8.973
23177,1.12,-0.441,9.29
23237,0.441,0.316,9.663
23297,0.728,-0.441,8.763
23357,2.672,0.306,8.772
23418,1.389,-0.306,10.18
23477,0.345,0.249,8.226
23538,0.144,0.824,11.473
23597,0.862,-0.067,10.247
23658,1.034,-0.268,9.443
23718,0.891,-0.555,9.328
23783,1.599,-0.23,8.887
23837,2.222,0.45,8.14
23897,1.638,-0.728,8.753
23953,2.356,0.622,9.462
24018,1.609,1.14,10.573
24073,2.519,-3.132,9.136
24138,0.479,0.364,9.395
24198,0.038,1.073,14.222
24257,-0.757,1.025,9.519
24317,0.747,0.843,9.778
24373,1.437,1.159,9.491
24433,1.829,1.542,8.581
24497,-0.201,-1.226,8.236
24553,-0.201,-1.226,14.222
24558,0.747,0.402,14.222
24618,2.5,0.393,12.584
24689,1.12,0.096,11.214
24757,0.891,1.427,8.437
24817,1.12,1.379,9.06
24877,0.259,1.073,9.912
24938,0.699,0.086,10.228
24993,2.174,-0.977,8.37
25057,2.969,1.044,7.183
25113,0.096,1.082,10.659
25177,2.337,-0.201,9.002
25237,1.657,1.599,8.811
25297,1.686,1.322,10.295
25357,1.599,-1.188,10.094
25417,0.469,-0.9,10.391
25473,0.709,-0.019,11.645
25537,1.274,0.163,10.228
25598,1.848,1.427,7.412
25657,0.977,0.881,9.787
25717,0.45,0.306,9.155
25777,1.724,-0.163,9.203
25837,1.523,-0.517,8.399
25897,0.757,-0.479,12.392
25958,1.178,0.402,8.887
26018,0.833,-0.287,9.117
26077,0.814,0.057,10.4
26137,1.657,0.881,8.207
26198,0.297,-0.316,9.539
26257,0.488,-0.393,12.842
26318,1.848,-0.354,11.483
26378,1.082,-1.14,9.902
26438,0.249,-0.584,11.109
26497,1.666,-0.977,10.046
26557,1.791,-0.862,8.811
26618,1.465,-1.982,8.543
26677,1.791,-0.814,9.529
26738,0.67,-1.599,8.954
26798,1.398,-1.226,9.424
26857,1.302,-0.69,10.697
26917,0.68,-1.58,10.324
26973,0.68,0.345,11.387
26977,-1.264,0.345,11.387
27033,0.163,-1.082,10.774
27098,0.383,-1.456,13.915
27157,2.184,-1.628,8.169
27218,1.657,-1.302,9.318
27277,1.896,-0.019,10.132
27337,5.44,2.653,14.394
27398,0.871,0.45,11.914
27453,-1.36,1.513,9.586
27517,1.13,-1.81,8.993
27577,-0.565,-1.034,10.228
27637,1.188,-0.919,8.571
27697,1.188,0.891,8.571
27758,1.551,-0.795,10.602
27823,3.247,0.086,11.626
27878,1.858,-2.116,9.51
27933,2.796,-0.632,12.345
27993,0.996,-0.345,9.931
28057,1.992,-1.35,9.596
28118,1.915,-1.484,10.439
28173,0.651,-2.452,9.395
28237,0.613,-2.327,9.462
28299,0.613,-0.278,10.745
28303,1.561,-0.278,10.745
28360,1.341,-0.019,9.06
28417,1.714,0.0,8.619
28478,1.915,-1.111,9.108
28533,1.743,-0.632,11.214
28598,0.881,-1.858,12.21
28662,1.408,-1.073,10.602
28717,1.686,-0.268,10.065
28778,2.212,0.22,9.347
28833,0.383,-0.891,8.686
28893,0.967,-0.373,6.646
28957,1.446,-1.369,9.299
29017,1.867,0.163,8.504
29077,1.111,-0.115,9.165
29137,1.638,0.0,10.851
29193,2.452,0.096,8.025
29253,1.906,0.105,9.337
29318,1.398,-0.278,10.956
29377,0.441,-0.134,10.257
29438,1.369,-0.45,9.701
29497,1.638,1.283,10.036
29557,0.977,0.919,9.711
29613,1.025,0.527,9.931
29677,1.188,0.316,8.849
29738,1.973,-0.287,9.098
29807,1.302,-0.594,9.634
29860,1.235,1.178,10.343
29917,1.188,-0.364,9.452
29973,1.188,0.105,8.475
29977,1.379,0.105,8.475
30038,1.762,-0.115,9.088
30098,0.996,0.431,8.82
30153,0.996,0.699,9.558
30157,0.986,0.699,9.558
30214,1.733,0.91,9.462
30282,-0.575,-0.69,10.017
30337,0.967,0.766,3.706
30398,1.925,0.546,10.918
30455,1.963,0.441,9.491
30534,0.172,1.915,9.558
30578,1.12,1.283,9.826
30637,0.038,0.862,8.715
30697,2.145,0.0,9.701
30757,2.049,0.939,8.274
30833,1.753,0.555,9.711
30897,1.676,1.245,10.937
30957,0.613,1.379,8.6
31013,1.178,0.383,9.088
31077,1.053,0.757,8.82
31133,0.757,0.488,8.926
31193,0.757,0.622,9.989
31198,0.622,0.622,9.989
31254,1.494,1.389,10.726
31317,1.044,0.795,9.117
31377,0.431,-0.057,6.981
31438,0.613,0.383,8.811
31502,-0.517,-0.144,9.902
31577,0.278,0.91,9.098
31633,-0.766,-0.105,10.956
31693,-0.326,-0.287,10.774
31763,-1.58,0.096,10.851
31823,-0.814,-0.086,10.764
31881,-0.958,0.517,10.362
31945,0.632,-0.067,8.179
31997,-0.373,-1.015,8.351
32057,-0.919,0.421,6.981
32117,-0.086,0.278,9.318
32177,-1.283,0.278,9.002
32233,-1.753,0.115,10.515
32293,-1.274,-0.278,11.645
32357,-0.871,1.015,9.998
32424,-0.919,0.019,10.209
32478,-0.364,0.192,8.61
32535,-0.498,0.795,11.31
32593,-1.149,1.073,11.971
32659,-0.038,0.326,9.567
32718,0.0,0.651,10.985
32773,0.077,0.249,8.811
32833,-2.241,0.115,9.376
32898,-0.594,-0.69,10.764
32957,-0.115,-0.23,10.774
33013,-0.01,0.057,8.408
33078,0.479,0.249,11.071
33138,-2.749,0.939,11.128
33197,-2.375,2.126,9.108
33257,0.182,-0.986,10.975
33317,-0.891,-0.603,8.112
33377,-1.369,-0.718,7.977
33438,-0.632,0.498,9.874
33498,-0.661,-0.345,9.835
33558,0.124,0.603,7.843
33613,-1.293,-0.22,11.779
33673,-0.776,-0.249,10.745
33733,-0.144,0.326,10.142
33798,0.479,0.785,9.098
33857,-0.632,-0.105,10.985
33917,-0.345,-0.192,10.965
33973,-0.249,-0.862,9.615
34038,-0.575,-0.335,9.874
34093,-0.651,0.182,10.563
34157,-0.278,-0.163,11.138
34217,-1.053,-0.249,10.008
34278,-1.111,-0.345,9.424
34338,-0.527,-0.038,7.556
34393,-0.517,0.575,9.165
34458,-0.278,0.048,10.64
34513,-0.278,0.239,10.266
34518,-0.891,0.239,10.266
34578,-0.871,-0.124,11.387
34642,-1.369,0.01,10.956
34703,-1.322,-0.01,10.496
34758,-1.111,0.67,8.792
34817,-1.513,-0.172,9.529
34877,-1.101,0.575,9.548
34938,-1.36,1.101,8.859
34997,-1.666,-0.144,10.63
35057,-0.364,-0.23,9.663
35117,-0.977,0.029,9.146
35177,-0.967,-0.546,9.041
35233,-1.188,0.843,8.581
35307,-1.207,-0.881,10.199
35378,-0.747,0.134,10.276
35433,-1.111,0.977,9.261
35497,-0.862,0.23,8.61
35558,-0.488,0.096,10.276
35617,-1.053,0.067,9.682
35677,-0.508,-0.718,9.644
35738,-0.441,-0.019,9.424
35798,-1.168,-0.967,8.954
35853,-1.159,-0.546,10.171
35913,-2.069,-0.345,9.816
35977,-1.331,0.048,9.28
36038,-0.536,0.01,9.874
36093,-0.565,0.402,9.309
36157,-0.287,0.23,9.012
36213,-0.115,-0.536,9.203
36272,-0.565,-0.335,9.539
36338,-0.383,-0.757,9.51
36393,-0.335,-0.46,9.711
36453,-0.699,0.134,10.276
36517,-0.91,-0.134,9.586
36574,-0.575,0.335,9.711
36638,-0.651,0.335,8.954
36698,-1.082,-0.057,9.29
36753,-1.293,-0.479,9.644
36813,-1.197,-0.287,9.912
36878,-1.13,-0.259,9.586
36937,-1.312,-0.105,9.797
36998,-1.006,0.115,9.481
37053,-0.804,-0.029,9.845
37113,-1.312,-0.22,10.027
37177,-0.996,-0.115,9.96
37238,-0.69,-0.077,9.644
37292,-0.642,-0.019,9.433
37353,-0.335,0.096,9.644
37423,-0.565,0.115,9.759
37474,-0.517,0.0,10.257
37537,-0.642,-0.268,9.826
37593,-0.421,-0.383,9.395
37657,-0.096,-0.268,9.912
37717,-0.096,-0.335,8.696
37776,0.057,-0.144,9.519
37838,-0.144,-0.038,9.481
37897,-0.268,0.239,9.979
37952,-0.268,0.469,10.008
37958,-0.364,0.469,10.008
38013,-0.575,-0.019,9.969
38077,-0.297,-0.077,9.673
38142,-0.354,-0.201,10.113
38197,-0.364,-0.23,9.615
38258,-0.373,0.105,10.151
38317,-0.297,-0.048,9.194
38378,-0.124,0.144,9.596
38438,-0.287,0.0,9.328
38497,-0.23,0.077,9.606
38558,-0.373,0.057,9.96
38618,-0.268,-0.029,9.615
38677,-0.45,0.029,10.113
38738,-0.527,-0.287,9.452
38803,-0.69,-0.086,9.912
38858,-0.9,-0.268,9.5
38917,-0.785,-0.048,9.644
38973,-0.785,-0.01,10.017
38977,-1.015,-0.01,10.017
39037,-0.747,-0.029,9.404
39097,-0.9,0.086,10.084
39153,-0.766,-0.249,9.433
39217,-0.699,-0.077,9.692
39277,-0.737,-0.297,9.366
39338,-0.68,-0.038,9.72
39404,-0.747,-0.086,9.749
39473,-0.776,-0.067,9.989
39537,-0.651,0.0,9.625
39598,-0.709,0.067,10.161
39664,-0.737,-0.086,9.357
39717,-0.785,0.057,9.902
39803,-0.862,-0.096,9.27
39833,-0.862,0.096,9.96
39838,-0.871,0.096,9.96
39893,-0.919,0.0,9.309
39957,-0.814,0.115,9.73
40013,-0.776,-0.077,9.27
40077,-0.804,0.0,10.008
40137,-0.824,-0.057,9.385
40193,-0.824,0.019,10.161
40198,-0.622,0.019,10.161
40258,0.153,0.0,9.816
40321,0.211,0.01,10.305
40397,-0.239,-0.057,9.883
40455,-0.048,0.029,10.113
40518,0.259,-0.086,9.328
40573,0.086,-0.038,10.094
40633,0.469,-0.124,9.883
40697,0.441,0.0,9.969
40753,0.412,-0.115,9.299
40817,0.393,0.0,10.065
40877,0.316,-0.048,9.586
40933,0.287,0.0,10.132
40998,0.306,0.0,9.749
41053,0.096,-0.096,9.663
41117,0.316,0.01,9.73
41178,0.239,-0.086,9.404
41237,0.316,-0.038,9.912
41303,0.306,0.019,9.701
41357,0.508,-0.134,9.395
41417,0.843,-0.201,9.653
41477,0.958,-0.124,9.989
41533,1.437,-0.115,9.653
41598,1.848,-0.316,10.726
41657,2.538,-0.192,9.606
41718,2.72,-0.22,9.701
41778,3.017,-0.393,9.864
41838,3.17,-0.651,9.634
41897,3.122,-0.939,9.577
41958,2.863,-0.958,10.41
42017,2.289,-1.226,10.582
42077,3.467,-1.389,9.424
42133,1.714,-1.714,9.606
42207,-0.077,-2.059,12.517
42277,1.034,-0.919,11.875
42338,1.322,-0.891,11.492
42397,1.705,-1.35,9.902
42457,2.729,-1.666,9.347
42518,2.595,-2.002,8.792
42578,1.925,-1.906,10.008
42637,2.241,-2.049,8.859
42693,2.672,-2.107,9.098
42758,1.906,-1.82,9.108
42818,2.088,-2.126,9.682
42877,1.695,-1.609,9.787
42933,4.673,-3.639,8.772
42997,2.308,-2.394,10.716
43057,1.81,-2.136,12.852
43117,1.867,-1.532,11.416
43177,1.695,-1.331,10.429
43237,1.858,-2.212,9.797
43298,1.456,-3.323,8.37
43357,0.737,-3.065,8.811
43417,1.264,-2.787,10.534
43478,1.465,-2.643,9.299
43533,1.101,-3.026,10.161
43597,1.12,-2.365,9.539
43657,1.274,-2.969,9.299
43713,1.159,-3.926,9.95
43793,0.891,-2.796,8.753
43843,-0.603,-4.396,11.262
43897,0.843,-3.026,9.462
43953,0.958,-3.496,8.552
44013,1.235,-3.716,9.5
44077,1.015,-2.614,8.753
44142,0.737,-3.275,9.481
44198,0.297,-3.869,9.615
44257,0.824,-3.668,9.711
44319,0.096,-3.342,9.098
44373,0.766,-2.931,9.74
44433,1.044,-3.266,10.362
44498,1.235,-2.998,10.391
44568,0.843,-2.614,10.132
44637,1.293,-3.112,9.539
44697,1.475,-3.218,9.548
44759,1.14,-2.164,9.155
44817,1.714,-2.413,8.897
44873,1.676,-2.701,8.619
44933,1.427,-2.48,9.433
44997,1.513,-3.074,10.994
45053,1.513,-2.94,9.031
45057,1.58,-2.94,9.031
45113,1.159,-2.5,10.161
45173,1.379,-2.433,10.391
45237,1.36,-2.356,9.941
45307,1.772,-2.605,9.146
45375,1.437,-2.203,10.257
45433,1.915,-1.839,9.395
45493,1.101,-2.145,10.171
45557,1.484,-1.992,10.247
45617,1.963,-1.915,9.73
45678,1.379,-1.973,10.333
45733,1.618,-0.986,9.845
45801,0.795,-1.111,10.228
45853,1.724,-1.255,9.989
45917,1.523,-0.785,9.136
45977,1.475,-0.891,9.404
46037,0.661,-0.737,9.768
46097,1.101,-0.546,9.95
46157,1.101,-0.67,9.539
46218,0.699,-0.239,8.657
46277,1.513,-0.211,10.448
46337,1.255,-0.259,10.305
46397,0.958,-0.144,9.826
46457,1.006,-0.096,9.864
46517,1.264,-0.01,9.424
46573,1.006,-0.057,9.989
46638,1.006,-0.373,8.916
46698,1.369,-0.287,9.002
46758,1.149,-0.067,8.801
46817,1.513,-0.575,8.83
46877,1.092,-0.249,9.069
46932,1.092,-0.316,8.696
46937,1.073,-0.316,8.696
46997,1.159,-0.69,8.868
47057,1.14,-0.412,9.29
47117,1.053,-0.565,9.299
47173,1.379,-0.881,8.964
47238,1.226,-0.469,8.772
47293,1.255,-0.46,9.309
47358,0.977,-0.469,10.4
47417,0.929,-0.469,9.462
47483,0.891,0.057,9.912
47553,0.891,-0.134,8.447
47557,1.178,-0.134,8.447
47617,0.871,-0.259,8.523
47677,1.168,-0.354,9.242
47737,0.843,-0.201,9.127
47797,1.12,-0.555,10.305
47853,0.824,-0.814,10.669
47918,0.747,-0.833,10.544
47977,1.197,-0.124,10.41
48037,1.082,-0.498,9.807
48097,1.255,-0.69,9.251
48157,0.967,-0.9,10.889
48220,0.536,-0.517,10.602
48277,0.728,-1.111,10.458
48337,0.124,-0.651,9.318
48398,0.919,-1.398,9.05
48458,0.929,-1.168,9.567
48518,1.235,-1.025,10.477
48578,0.862,-1.513,8.887
48637,0.948,-1.686,9.27
48698,0.871,-1.657,9.644
48753,0.871,-1.235,9.941
48817,0.728,-0.929,9.041
48877,0.776,-1.657,9.146
48937,1.216,-1.954,9.682
48993,0.891,-1.925,8.964
49058,0.555,-1.35,10.41
49117,0.718,-1.705,10.18
49173,1.35,-1.954,8.686
49237,0.986,-2.327,9.27
49293,0.833,-1.733,8.667
49358,1.235,-1.063,10.238
49425,0.833,-1.475,10.123
49498,0.402,-1.427,10.343
49560,1.14,-1.044,10.094
49648,0.421,-1.542,10.19
49677,1.331,-1.484,9.893
49733,1.437,-1.915,9.634
49797,0.728,-2.059,10.075
49857,1.322,-2.03,9.491
49917,0.469,-1.858,10.803
49974,1.226,-1.781,10.046
50038,0.584,-1.207,10.257
50097,1.025,-0.632,8.782
50157,0.488,-1.437,9.893
50218,1.283,-1.207,9.529
50277,0.536,-1.331,9.155
50338,1.369,-1.369,8.571
50398,0.632,-1.494,10.726
