Time since start in ms ,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
18,-0.096,-0.287,9.95
78,-0.259,-0.287,9.787
137,-0.249,-0.488,9.596
197,-0.115,-0.306,10.065
257,-0.22,-0.268,9.74
317,-0.192,-0.469,9.548
378,-0.124,-0.278,10.027
437,-0.287,-0.316,9.74
498,-0.22,-0.46,9.596
558,-0.144,-0.239,9.969
613,-0.144,-0.287,9.673
617,-0.259,-0.287,9.673
678,-0.192,-0.508,9.548
737,-0.105,-0.297,9.989
798,-0.239,-0.23,9.768
853,-0.249,-0.479,9.5
913,-0.134,-0.297,10.027
978,-0.239,-0.249,9.874
1038,-0.249,-0.536,9.424
1098,-0.077,-0.431,9.874
1158,-0.134,-0.182,9.998
1218,-0.316,-0.201,9.51
1281,-0.259,-0.373,9.471
1336,-0.134,-0.412,9.883
1393,-0.182,-0.431,9.864
1453,-0.124,-0.498,9.519
1520,-0.124,-0.239,9.893
1578,-0.249,-0.134,9.816
1634,-0.239,-0.402,9.51
1698,-0.163,-0.508,9.74
1757,-0.144,-0.354,9.864
1823,-0.268,-0.259,9.855
1897,-0.048,-0.306,9.922
1957,-0.268,-0.306,9.73
2018,-0.201,-0.412,9.481
2077,-0.115,-0.278,10.046
2138,-0.268,-0.23,9.922
2193,-0.201,-0.431,9.452
2258,-0.134,-0.421,9.998
2317,-0.211,-0.259,9.874
2373,-0.316,-0.259,9.577
2437,-0.153,-0.402,9.491
2497,-0.077,-0.306,9.912
2557,-0.383,-0.287,9.874
2613,-0.182,-0.441,9.539
2678,-0.096,-0.316,9.979
2733,-0.23,-0.239,9.941
2794,-0.211,-0.431,9.433
2857,-0.086,-0.364,9.922
2917,-0.182,-0.259,9.874
2977,-0.268,-0.46,9.51
3033,-0.144,-0.383,9.634
3098,-0.163,-0.172,9.95
3157,-0.306,-0.287,9.644
3278,-0.172,-0.297,9.864
3337,-0.268,-0.441,9.567
3397,-0.144,-0.431,9.778
3458,-0.192,-0.211,10.046
3507,-0.192,-0.259,9.979
3508,-0.096,-0.259,9.979
3577,-0.144,-0.393,9.845
3637,-0.172,-0.278,10.008
3698,-0.249,-0.469,9.376
3753,-0.182,-0.373,9.941
3813,-0.172,-0.172,9.902
3873,-0.211,-0.393,9.443
3938,-0.182,-0.45,9.855
3998,-0.192,-0.249,9.96
4057,-0.22,-0.393,9.443
4117,-0.144,-0.402,9.759
4178,-0.287,-0.316,10.353
4237,-0.22,-0.364,9.404
4297,-0.192,-0.431,9.807
4358,-0.105,-0.268,9.864
4417,-0.268,-0.412,9.529
4477,-0.22,-0.46,9.74
4538,-0.153,-0.22,9.96
4593,-0.23,-0.326,9.586
4657,-0.182,-0.469,9.663
4718,-0.115,-0.278,9.979
4778,-0.23,-0.316,9.701
4839,-0.259,-0.421,9.558
4893,-0.172,-0.23,9.931
4957,-0.172,-0.297,9.634
5018,-0.163,-0.488,9.586
5077,-0.144,-0.345,9.922
5133,-0.239,-0.326,9.701
5197,-0.201,-0.421,9.606
5257,-0.172,-0.182,9.998
5313,-0.172,-0.335,9.586
5317,-0.211,-0.335,9.586
5377,-0.172,-0.517,9.692
5433,-0.134,-0.259,9.931
5493,-0.278,-0.278,9.663
5555,-0.211,-0.421,9.701
5618,-0.144,-0.278,9.998
5678,-0.201,-0.354,9.711
5733,-0.182,-0.46,9.701
5799,-0.201,-0.22,9.998
5857,-0.287,-0.297,9.558
5917,-0.163,-0.45,9.701
5978,-0.163,-0.249,9.902
6033,-0.239,-0.441,9.414
6092,-0.239,-0.45,9.845
6101,-0.192,-0.45,9.845
6153,-0.163,-0.192,9.941
6213,-0.192,-0.393,9.452
6277,-0.172,-0.421,9.883
6338,-0.23,-0.297,9.912
6397,-0.201,-0.469,9.357
6453,-0.086,-0.297,9.912
6517,-0.22,-0.153,9.883
6573,-0.268,-0.46,9.395
6637,-0.172,-0.479,9.941
6697,-0.144,-0.278,9.969
6753,-0.201,-0.421,9.414
6820,-0.144,-0.306,9.864
6873,-0.23,-0.211,9.989
6937,-0.239,-0.441,9.462
6993,-0.153,-0.469,9.711
7057,-0.163,-0.249,10.075
7117,-0.259,-0.326,9.548
7173,-0.192,-0.335,9.816
7233,-0.124,-0.22,9.893
7297,-0.22,-0.46,9.586
7357,-0.172,-0.498,9.855
7417,-0.22,-0.259,9.989
7478,-0.259,-0.335,9.51
7537,-0.124,-0.364,9.653
7598,-0.172,-0.239,9.922
7657,-0.345,-0.431,9.529
7713,-0.182,-0.479,9.749
7776,-0.086,-0.287,10.065
7832,-0.086,-0.287,9.74
7837,-0.22,-0.239,9.74
7897,-0.22,-0.393,9.471
7953,-0.144,-0.287,9.96
8017,-0.268,-0.335,9.979
8077,-0.134,-0.517,9.462
8138,-0.067,-0.345,9.902
8197,-0.239,-0.211,9.941
8257,-0.287,-0.354,9.5
8317,-0.115,-0.393,9.673
8377,-0.057,-0.316,9.835
8433,-0.316,-0.441,9.692
8497,-0.326,-0.479,9.682
8557,-0.086,-0.22,10.132
8613,-0.163,-0.249,9.692
8677,-0.259,-0.402,9.443
8733,-0.259,-0.364,10.008
8818,-0.048,-0.306,9.941
8859,-0.249,-0.335,9.845
